movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
73,House Family,TV Series,Action,,2021,42.0,TV-PG,German,Canada,4.8,,,5.0,121.0,1,2023-03-24,0
74,Dark Ice,Movie,Comedy,,2005,150.0,PG,English,Canada,,1915176.0,3628760.0,,,1,2021-11-07,0
75,War Hero,TV Series,Animation,Crime,2016,18.0,TV-PG,English,USA,6.5,,,1.0,177.0,0,2023-04-21,1
76,Empire Battle,Movie,Family,Documentary,2023,108.0,G,English,USA,6.8,20837483.0,4643156.0,,,1,2023-05-30,0
77,Our Battle,TV Series,War,History,2018,26.0,TV-14,English,USA,6.4,,,5.0,95.0,1,2024-12-03,0
78,Little War,Movie,Fantasy,Mystery,1999,143.0,NC-17,Hindi,USA,,1035450.0,,,,0,2022-03-30,0
79,Mission Dream,Movie,War,,2005,414.0,TV-G,Hindi,USA,5.9,4204348.0,24367896.0,,,0,2021-02-07,0
80,Day Queen,Movie,Documentary,Documentary,2014,89.0,TV-Y,English,USA,7.8,5453306.0,32981493.0,,,0,2022-12-26,0
81,Mission Fire,Movie,Documentary,,2023,119.0,TV-14,Italian,Japan,7.8,22471820.0,5603722.0,,,0,2021-06-05,0
82,Bright Phoenix,Movie,Western,,1995,408.0,TV-MA,German,South Korea,4.6,8461755.0,173407724.0,,,1,2021-04-14,0
83,Journey Phoenix,Movie,Sci-Fi,,2024,101.0,TV-Y,English,USA,7.0,97100.0,69320180.0,,,1,2020-08-14,1
84,Night Phoenix,Movie,Documentary,Crime,1998,114.0,PG,English,Germany,6.8,,39250966.0,,,1,2023-09-08,1
85,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44.0,TV-Y,Korean,USA,5.7,,,,,0,2024-05-03,1
86,Big Adventure,Documentary,Biography,Family,1998,68.0,G,English,UK,0.6,,,,,1,2024-07-11,0
87,Our Storm,Movie,Comedy,,2010,38.0,PG-13,Italian,USA,6.6,,,,,0,2021-02-22,1
88,Journey Love,TV Series,Sport,,1990,63.0,PG-13,English,Canada,7.2,,,4.0,79.0,0,2023-03-02,0
89,Mystery Day,Movie,Romance,,2014,79.0,TV-Y7,Hindi,Japan,0.9,44425136.0,16348642.0,,,1,2021-06-07,1
90,Ice Kingdom,Documentary,Animation,Biography,2003,107.0,TV-PG,English,USA,8.7,,,,,0,2021-12-24,1
91,Dragon Ice,Documentary,Horror,,1993,79.0,PG-13,English,Japan,4.7,,,,,1,2022-11-24,0
92,Story Kingdom,TV Series,War,,1991,35.0,PG,English,UK,8.8,,,14.0,62.0,0,2024-04-23,0
93,City Queen,Movie,History,Biography,2020,101.0,R,English,USA,9.7,,41795066.0,,,1,2024-03-31,0
94,Dark City,Stand-up Comedy,Western,Western,1993,68.0,TV-Y7,English,USA,5.3,,,,,0,2021-08-03,0
95,Legend Storm,TV Series,Fantasy,,2003,32.0,TV-MA,English,USA,3.6,,,9.0,76.0,1,2025-05-06,0
96,King Fire,Movie,Action,,2018,105.0,G,English,UK,4.5,8939550.0,4931077.0,,,0,2024-06-22,1
97,Secret War,Movie,Fantasy,,2001,102.0,TV-Y,Hindi,Canada,3.1,2137471.0,36710118.0,,,0,2021-05-15,0
98,A War,Stand-up Comedy,Adventure,,2001,77.0,PG-13,English,USA,6.4,,,,,1,2022-07-27,0
99,Dragon Day,Documentary,Western,,2021,110.0,PG,English,UK,8.3,,,,,0,2021-07-06,1
100,Adventure Dream,Movie,Fantasy,,1996,99.0,TV-G,English,Canada,6.0,8590064.0,,,,0,2024-07-30,0
101,King House,TV Series,Animation,,2008,45.0,TV-MA,English,South Korea,6.9,,,3.0,96.0,0,2025-07-19,0
102,Fire War,TV Series,Comedy,Sci-Fi,2003,32.0,TV-14,Italian,South Korea,5.1,,,6.0,74.0,0,2023-08-17,1
103,Family Battle,Stand-up Comedy,Sci-Fi,Action,2017,52.0,NC-17,Italian,France,8.2,,,,,0,2024-04-16,0
104,Mystery Mystery,Movie,War,Fantasy,2001,107.0,TV-Y,English,South Korea,,,13208249.0,,,0,2024-11-24,0
105,Adventure House,Movie,Animation,Adventure,1992,109.0,TV-MA,Korean,USA,6.3,1354517.0,3059547.0,,,1,2023-09-28,0
106,Dragon Night,Documentary,Animation,Family,1991,89.0,NC-17,Spanish,South Korea,7.3,,,,,0,2020-08-25,1
107,Love Kingdom,Documentary,Biography,,2014,87.0,TV-MA,English,UK,6.1,,,,,0,2023-03-02,1
108,First Phoenix,Movie,Fantasy,,2000,128.0,TV-G,Italian,USA,7.8,747506.0,151826737.0,,,0,2021-03-14,1
109,Family Story,Movie,War,,2023,119.0,PG-13,English,USA,6.5,2792744.0,194859508.0,,,0,2022-12-24,0
110,Queen Day,Movie,Comedy,Adventure,1998,122.0,NC-17,English,USA,5.5,3551286.0,,,,1,2022-06-03,0
111,Kingdom Mission,Movie,Sport,,1995,106.0,TV-Y7,English,USA,,770163.0,3222643.0,,,0,2021-03-12,1
112,King Princess,TV Series,Music,Biography,1991,69.0,R,English,USA,,,,2.0,103.0,1,2022-01-22,0
113,A Quest,Movie,History,,2022,110.0,PG-13,French,Germany,5.9,845349.0,4568753.0,,,0,2020-12-09,1
114,Journey King,TV Series,Animation,Mystery,2008,46.0,TV-PG,English,India,9.7,,,9.0,48.0,0,2022-10-24,0
115,War Dragon,Movie,Crime,,2021,69.0,NC-17,English,USA,6.0,18860431.0,57338013.0,,,1,2021-04-09,0
116,Secret Story,Documentary,Biography,Documentary,1990,134.0,TV-14,French,France,4.7,,,,,0,2024-02-27,1
117,Little Dragon,Movie,Family,,2013,109.0,R,English,USA,5.2,794995.0,24268353.0,,,1,2022-04-27,1
118,Hero Love,Documentary,Sport,,2014,96.0,TV-14,English,USA,,,,,,0,2021-07-14,0
119,Little Warrior,Documentary,Action,Adventure,2019,98.0,G,Hindi,South Korea,8.5,,,,,0,2025-07-26,1
120,Last Mission,Movie,Mystery,Comedy,2022,152.0,TV-Y,English,USA,5.2,,22144747.0,,,0,2024-04-21,0
121,Last Dream,Movie,Mystery,,2004,113.0,G,English,USA,6.1,1666756.0,,,,0,2022-09-09,0
122,Little Queen,Movie,History,,2019,125.0,TV-MA,English,USA,3.9,9321651.0,5551808.0,,,0,2024-08-01,0
123,Family Fire,Movie,Documentary,History,2008,109.0,R,English,USA,4.5,556402.0,8920240.0,,,1,2023-04-03,0
124,Bright House,TV Series,Comedy,,2003,38.0,TV-Y,English,USA,6.6,,,12.0,14.0,1,2024-01-14,0
125,Our Queen,Movie,Western,Music,2010,105.0,PG,English,Canada,5.0,16341730.0,39189864.0,,,1,2022-01-10,0
126,Journey Princess,Movie,Sci-Fi,Biography,2003,125.0,TV-MA,Spanish,USA,7.4,26713214.0,5582578.0,,,0,2022-12-29,0
127,Dragon Quest,Documentary,Music,Drama,2016,85.0,PG,English,USA,4.4,,,,,0,2024-12-22,0
128,A Quest,Limited Series,History,,2008,58.0,NC-17,English,Canada,4.9,,,2.0,153.0,0,2022-03-29,0
129,Mission Fire,Stand-up Comedy,Sci-Fi,Crime,2000,36.0,TV-Y7,English,USA,,,,,,1,2023-10-10,0
130,Last House,Movie,Action,,1990,36.0,NC-17,English,Japan,6.4,10949397.0,45443003.0,,,0,2020-11-19,0
131,Story Mystery,Movie,Sci-Fi,,2024,115.0,TV-Y7,English,USA,6.4,31998338.0,4303498.0,,,1,2025-04-25,0
132,Dragon War,Documentary,Comedy,,2022,95.0,TV-PG,Spanish,Japan,7.7,,,,,0,2021-01-12,0
133,Adventure Princess,Movie,Family,,1993,97.0,R,English,USA,7.8,9889659.0,36933865.0,,,0,2021-12-12,0
134,Story Night,Stand-up Comedy,Adventure,Animation,1999,52.0,PG,Spanish,France,7.3,,,,,0,2023-08-24,0
135,Princess House,Movie,Western,,2016,73.0,TV-G,Japanese,USA,5.3,,196392638.0,,,0,2023-08-10,0
136,First House,Documentary,Adventure,,2001,404.0,NC-17,English,Canada,1.0,,,,,0,2023-05-25,0
137,First Mission,Movie,History,,2023,106.0,TV-Y7,English,USA,7.6,992285.0,84883879.0,,,0,2020-12-26,0
138,Kingdom Fire,Movie,Biography,Comedy,2024,118.0,PG,English,Canada,5.6,2785266.0,20178073.0,,,0,2023-05-29,0
139,Last War,Limited Series,Mystery,,1993,23.0,TV-G,English,USA,4.4,,,2.0,102.0,0,2024-05-05,0
140,City Empire,Documentary,Sport,,2023,19.0,TV-14,English,France,5.6,,,,,0,2025-06-20,0
141,War Story,Movie,Action,Crime,1990,96.0,PG,Korean,Japan,3.9,,351613.0,,,0,2024-10-30,1
142,Battle Secret,Limited Series,Western,,2018,71.0,TV-Y7,English,UK,,,,14.0,169.0,0,2021-02-26,1
143,Adventure Fire,Movie,Biography,,2006,143.0,NC-17,German,Germany,5.0,792013.0,5298432.0,,,1,2022-12-28,0
144,Our Dream,TV Series,Comedy,,2013,37.0,TV-14,Korean,India,9.4,,,11.0,42.0,1,2020-12-07,0
145,Fire Empire,TV Series,Thriller,Sci-Fi,1990,40.0,G,English,UK,8.4,,,10.0,197.0,1,2024-03-09,0
146,Bright Love,Movie,War,,2014,79.0,PG-13,English,USA,4.4,,,,,0,2024-11-22,0
147,Dark Love,Documentary,Action,,1996,34.0,G,Japanese,UK,3.9,,,,,0,2023-02-11,0
148,War Storm,TV Series,Mystery,,1997,66.0,TV-Y7,Spanish,USA,8.9,,,1.0,101.0,1,2022-07-29,0
149,The Fire,Documentary,Action,,2000,364.0,TV-PG,Spanish,USA,3.0,,,,,0,2023-09-12,0
150,Story Fire,Movie,Adventure,Sport,2013,157.0,TV-14,English,Japan,8.1,28183154.0,26250908.0,,,0,2022-12-26,1
151,Night Love,Movie,Animation,,2005,98.0,TV-Y,English,South Korea,6.2,5071451.0,235899.0,,,0,2022-12-11,0
152,Fire Quest,Movie,Documentary,Sport,1991,104.0,TV-MA,Hindi,USA,3.6,,,,,0,2020-10-13,0
153,Phoenix Dragon,Movie,Animation,,2007,148.0,NC-17,Spanish,USA,7.8,1445488.0,,,,1,2024-01-30,0
154,Bright Phoenix,TV Series,Sci-Fi,,1998,19.0,TV-Y,Italian,UK,5.0,,,14.0,187.0,1,2024-01-15,0
155,Dream Battle,Movie,Romance,,2005,140.0,TV-Y7,English,USA,6.5,,10889136.0,,,0,2025-07-01,0
156,An Ice,Movie,History,Thriller,2019,111.0,TV-14,English,France,6.0,19903417.0,10427828.0,,,1,2023-07-16,0
157,Last Ice,Documentary,Sport,,2001,77.0,R,German,USA,10.0,,,,,0,2022-02-15,0
158,Storm Princess,Documentary,War,,2019,110.0,R,English,USA,,,,,,0,2022-02-27,1
159,Battle Family,Movie,Drama,Mystery,2001,121.0,NC-17,Korean,India,7.7,6129856.0,6244192.0,,,0,2023-01-23,0
160,Love Journey,Movie,Comedy,,2016,10.0,R,Italian,Canada,6.6,9355608.0,738634327.0,,,0,2023-08-19,0
161,Our King,Movie,Western,,1993,97.0,TV-Y,English,Germany,6.5,3405303.0,894261.0,,,0,2021-02-20,0
162,Day Fire,TV Series,Animation,Sci-Fi,2005,40.0,TV-PG,Spanish,South Korea,5.8,,,5.0,111.0,0,2021-08-23,0
163,Bright War,Movie,Comedy,,2015,85.0,TV-PG,English,USA,5.7,503735.0,58761541.0,,,0,2021-01-10,1
164,Quest Ice,Movie,Romance,Western,1995,111.0,TV-14,English,USA,,2398917.0,35707634.0,,,0,2021-01-13,0
165,Bright Day,Movie,Action,Sci-Fi,2018,91.0,G,English,Germany,7.6,456624.0,82210.0,,,0,2023-11-21,0
166,Mystery Princess,TV Series,Western,,2012,66.0,TV-G,English,USA,3.3,,,10.0,54.0,1,2024-02-03,0
167,Battle Night,TV Series,Adventure,,2010,37.0,TV-MA,Italian,USA,,,,9.0,178.0,0,2021-06-26,0
168,Love Love,Movie,Crime,Mystery,1997,103.0,G,English,USA,6.9,5781768.0,,,,1,2023-02-13,0
169,Storm Day,TV Series,Western,,1998,53.0,TV-PG,English,Canada,6.9,,,13.0,81.0,0,2025-01-20,0
170,Phoenix Love,Movie,Horror,,1997,537.0,R,English,South Korea,6.1,431570.0,6675003.0,,,0,2024-03-10,1
171,Dream Warrior,Movie,Biography,,1994,110.0,TV-14,English,USA,1.4,3768477.0,11316045.0,,,0,2021-05-21,0
172,My Story,Movie,Horror,,1993,94.0,TV-Y,Spanish,USA,10.0,5064920.0,11553135.0,,,0,2023-09-10,0
173,Little Dragon,Stand-up Comedy,Sci-Fi,History,2002,58.0,TV-Y,Hindi,Canada,7.2,,,,,1,2022-02-04,0
174,City Battle,TV Series,Thriller,,2020,50.0,TV-Y7,Spanish,France,,,,7.0,78.0,0,2023-11-06,0
175,Fire Day,Movie,Fantasy,,2002,137.0,TV-G,German,USA,8.9,365831.0,,,,1,2023-07-13,0
176,Dream City,TV Series,Documentary,,2008,39.0,TV-Y7,French,USA,4.4,,,10.0,116.0,1,2022-09-02,0
177,Fire Princess,Movie,Drama,,2022,99.0,PG,Italian,USA,9.1,197326642.0,5829409.0,,,1,2024-09-21,0
178,Our Princess,TV Series,Animation,,2002,55.0,G,English,South Korea,5.6,,,,6.0,0,2023-11-30,0
179,Battle Empire,TV Series,Documentary,,2014,41.0,TV-PG,Spanish,UK,0.8,,,6.0,20.0,1,2023-03-30,0
180,Story Queen,TV Series,Action,,2010,26.0,G,English,USA,6.5,,,1.0,159.0,0,2020-11-18,0
181,Phoenix Hero,TV Series,Crime,,2020,43.0,G,English,UK,7.4,,,4.0,134.0,0,2023-09-22,0
182,Mystery Adventure,Movie,Thriller,,1990,125.0,TV-14,English,USA,5.7,5738797.0,1406285.0,,,0,2024-10-09,0
183,House Phoenix,TV Series,Music,Romance,1999,42.0,G,English,USA,,,,14.0,85.0,1,2024-05-04,0
184,Legend House,Documentary,Documentary,,2000,84.0,PG-13,English,USA,7.3,,,,,1,2021-06-26,0
185,King Ice,Documentary,History,,2020,83.0,TV-G,English,USA,7.4,,,,,0,2023-04-29,0
186,Old House,TV Series,Comedy,,1999,70.0,TV-G,English,USA,,,,9.0,151.0,0,2024-03-08,1
187,First Journey,Documentary,Crime,,2012,102.0,TV-Y,English,South Korea,8.2,,,,,0,2024-02-07,0
188,Our Hero,Movie,Comedy,,1998,111.0,TV-PG,English,USA,9.3,6199801.0,15193445.0,,,0,2022-09-12,0
189,Family Mission,Movie,Documentary,,1993,85.0,TV-MA,Japanese,USA,5.8,593000.0,99504513.0,,,0,2020-10-10,0
190,Princess Night,Documentary,Fantasy,,2010,94.0,TV-MA,English,USA,6.0,,,,,1,2020-11-19,1
191,War Kingdom,Stand-up Comedy,Adventure,,2006,36.0,G,English,USA,5.5,,,,,0,2022-07-12,0
192,Family Queen,Movie,Comedy,Horror,2021,127.0,PG,Korean,Canada,6.1,52114579.0,24037884.0,,,0,2020-09-10,0
193,Love Story,Movie,Animation,,2002,53.0,TV-MA,English,India,4.3,5819919.0,20052531.0,,,1,2023-01-24,0
194,The Phoenix,Movie,Western,,2016,153.0,PG,German,USA,5.9,7058434.0,11893984.0,,,0,2022-12-03,0
195,New Phoenix,Limited Series,Music,,1996,18.0,NC-17,Korean,Canada,6.4,,,6.0,151.0,0,2022-06-15,0
196,Legend Mission,Movie,Mystery,,2014,69.0,TV-Y,Korean,Japan,4.3,5542251.0,1949871.0,,,0,2022-10-21,0
197,Adventure War,Documentary,History,Biography,1998,78.0,TV-MA,French,South Korea,7.3,,,,,1,2021-10-04,0
198,Phoenix Family,TV Series,Sport,,2007,48.0,TV-PG,Hindi,USA,4.9,,,6.0,141.0,1,2023-01-02,0
199,A Love,TV Series,Music,,1992,23.0,TV-Y7,English,India,8.3,,,3.0,53.0,0,2020-08-30,0
200,Legend Secret,TV Series,Drama,,2002,10.0,NC-17,English,USA,4.6,,,14.0,79.0,0,2024-10-15,0
201,Secret Battle,Movie,Adventure,,2012,142.0,R,English,USA,5.6,573288.0,,,,0,2022-05-27,1
202,City Empire,Stand-up Comedy,Horror,Adventure,1961,47.0,TV-14,Spanish,France,6.1,,,,,0,2020-11-30,0
203,First Journey,Documentary,Action,Family,2008,87.0,TV-PG,English,Canada,,,,,,1,2023-01-19,0
204,My Quest,Movie,Action,,1998,100.0,TV-14,English,UK,5.3,1055495.0,1732903.0,,,0,2023-04-24,1
205,Adventure Legend,TV Series,Drama,Adventure,2021,73.0,R,Japanese,USA,6.5,,,2.0,109.0,0,2020-11-18,0
206,Big Dragon,TV Series,Romance,,2003,50.0,PG-13,English,Canada,6.0,,,9.0,97.0,0,2023-04-13,0
207,Family Ice,TV Series,Sport,Mystery,1992,34.0,R,English,USA,7.5,,,8.0,15.0,1,2020-08-02,1
208,The Story,Movie,Thriller,,1993,109.0,R,Spanish,USA,7.4,5539041.0,,,,1,2021-04-28,0
209,King Dragon,TV Series,History,,2023,44.0,TV-G,English,USA,6.2,,,9.0,89.0,1,2022-06-16,1
210,Princess Kingdom,Movie,Sport,,2018,83.0,TV-14,German,Canada,2.7,2206961.0,,,,0,2022-02-15,0
211,Kingdom Princess,TV Series,Romance,,1998,39.0,PG-13,Italian,USA,6.1,,,2.0,97.0,0,2022-04-12,0
212,Story King,Stand-up Comedy,War,,2011,33.0,TV-Y,Hindi,UK,8.0,,,,,0,2022-12-08,0
213,Queen House,TV Series,Fantasy,,2015,44.0,PG,English,Canada,7.9,,,10.0,115.0,1,2025-03-15,0
214,Last Dragon,Stand-up Comedy,Animation,Comedy,1966,47.0,TV-Y7,English,USA,4.3,,,,,0,2024-11-12,0
215,City Warrior,Movie,Western,,2008,135.0,NC-17,English,USA,6.8,10268769.0,1769234.0,,,0,2024-02-24,0
216,Day City,Documentary,Action,,1993,85.0,G,Spanish,South Korea,8.5,,,,,0,2024-03-02,0
217,Quest Secret,Movie,Drama,,2008,93.0,TV-G,English,UK,6.9,1331293.0,136118745.0,,,0,2024-10-25,0
218,Journey Mission,Movie,Action,Documentary,1995,93.0,NC-17,English,India,6.2,8955476.0,5873907.0,,,0,2020-12-19,0
219,Bright Adventure,Movie,Comedy,,2021,102.0,NC-17,English,Canada,7.1,1852812.0,323259.0,,,1,2025-03-09,0
220,An War,TV Series,Comedy,History,2009,47.0,TV-MA,French,Germany,8.1,,,9.0,40.0,0,2022-02-21,0
221,Empire Kingdom,Documentary,Crime,,2016,46.0,TV-PG,English,USA,8.7,,,,,0,2021-06-25,0
222,Battle Phoenix,TV Series,Western,Drama,1994,329.0,TV-MA,Japanese,USA,,,,11.0,153.0,0,2020-10-30,0
223,Story Phoenix,TV Series,History,,2006,50.0,TV-G,Hindi,USA,6.3,,,,156.0,0,2020-10-22,0
224,The Princess,TV Series,Drama,,1994,62.0,R,German,USA,,,,2.0,43.0,0,2021-05-12,0
