age,gender,country,state_province,subscription_plan,monthly_spend,primary_device,household_size,churned,monthly_spend_log,household_size_missing,start_year,start_month,start_day,start_weekday
34.0,Male,Canada,Newfoundland and Labrador,Basic,18.15,Desktop,1.0,0,2.952302715626655,0,2023,5,29,0
42.0,Female,USA,New York,Standard,17.15,Desktop,0.0,0,2.8986705607108596,1,2023,6,10,5
36.0,Male,Canada,Manitoba,Basic,35.16,Mobile,2.0,0,3.5879535355239756,0,2025,7,30,2
23.0,Female,USA,Massachusetts,Premium,43.11,Gaming Console,4.0,0,3.786686514116848,0,2023,6,19,0
20.0,Male,Canada,Prince Edward Island,Standard,17.27,Gaming Console,3.0,0,2.9052603703899154,0,2023,5,14,6
30.0,Male,USA,Washington,Standard,22.854736059479553,Desktop,4.0,0,3.1719827745379456,0,2025,7,24,3
32.0,Other,USA,Ohio,Standard,5.45,Mobile,0.0,0,1.864080130807681,1,2024,1,20,5
46.0,Other,USA,Florida,Standard,7.38,Gaming Console,1.0,0,2.1258479144939915,0,2022,8,21,6
36.0,Male,USA,New Jersey,Standard,4.73,Tablet,6.0,1,1.7457155307266483,0,2023,11,20,0
49.0,Female,USA,Ohio,Premium,9.81,Desktop,3.0,0,2.3804716316511167,0,2023,9,17,6
41.0,Female,USA,Indiana,Standard,12.97,Laptop,0.0,0,2.6369121732688705,1,2024,9,1,6
23.0,Female,USA,California,Premium,13.98,Smart TV,3.0,0,2.7067159780890733,0,2024,9,10,1
20.0,Other,USA,Texas,Premium,12.74,Tablet,3.0,0,2.620311286794203,0,2024,10,3,3
52.0,Female,USA,Massachusetts,Basic,13.93,Desktop,1.0,0,2.703372611551099,0,2024,10,19,5
39.0,Male,USA,Arizona,Standard,6.42,Laptop,4.0,1,2.004179057179289,0,2023,10,15,6
36.0,Male,USA,New Jersey,Premium,3.31,Smart TV,2.0,0,1.4609379041156565,0,2023,11,19,6
30.0,Male,Canada,Ontario,Premium,14.28,Gaming Console,3.0,0,2.7265447837383743,0,2022,11,22,1
35.0,Other,USA,North Carolina,Standard,33.88,Desktop,2.0,1,3.551913599040779,0,2025,2,12,2
21.0,Male,Canada,Prince Edward Island,Premium,10.87,Mobile,0.0,0,2.4740142086215764,1,2024,1,23,1
39.0,Other,USA,Florida,Standard,10.51,Tablet,5.0,0,2.4432162227337915,0,2024,11,25,0
38.0,Male,USA,Wisconsin,Premium,18.18,Smart TV,4.0,0,2.953868069455292,0,2025,2,11,1
29.0,Male,USA,Massachusetts,Basic,16.65,Laptop,0.0,0,2.8707357833793057,1,2024,5,1,2
32.0,Female,Canada,Nova Scotia,Standard,8.09,Smart TV,2.0,0,2.2071749081893874,0,2024,8,19,0
33.0,Other,USA,Arizona,Basic,16.68,Gaming Console,3.0,1,2.8724340572094973,0,2024,8,30,4
15.0,Female,USA,Texas,Standard,11.49,Gaming Console,5.0,0,2.5249283241374862,0,2024,11,6,2
24.0,Female,USA,Tennessee,Premium+,24.08,Gaming Console,4.0,0,3.22207071576472,0,2022,8,8,0
41.0,Female,USA,Missouri,Basic,20.136172344689378,Smart TV,2.0,0,3.0509859018293035,0,2023,10,31,1
36.0,Male,USA,New Jersey,Standard,7.64,Mobile,3.0,0,2.1564025828159643,0,2025,6,17,1
45.0,Male,Canada,Manitoba,Premium,16.26,Smart TV,1.0,0,2.848391685655282,0,2024,9,25,2
43.0,Male,USA,Georgia,Standard,24.73,Desktop,3.0,0,3.2476576262936527,0,2024,3,10,6
38.0,Male,USA,Missouri,Standard,10.85,Mobile,2.0,0,2.47232786758114,0,2023,1,20,4
19.0,Other,USA,Michigan,Standard,18.57,Smart TV,3.0,0,2.9739977814079848,0,2023,3,6,0
20.0,Male,USA,Arizona,Premium,10.38,Gaming Console,2.0,0,2.431857428698185,0,2025,1,3,4
13.0,Male,USA,North Carolina,Basic,10.3,Smart TV,1.0,0,2.424802725718295,0,2024,1,17,2
25.0,Other,USA,Arizona,Basic,3.57,Desktop,4.0,0,1.5195132049061133,0,2025,4,21,0
13.0,Male,USA,Tennessee,Premium,21.77,Gaming Console,2.0,1,3.125443880075648,0,2024,11,8,4
40.0,Other,USA,Massachusetts,Standard,20.37,Laptop,3.0,0,3.0619880693310564,0,2023,10,1,6
48.0,Male,Canada,Prince Edward Island,Premium,32.33,Desktop,1.0,0,3.506457892319648,0,2023,9,18,0
51.0,Female,USA,North Carolina,Premium,21.811017452655033,Smart TV,3.0,0,3.1272436408541084,0,2024,5,22,2
26.0,Female,USA,New Jersey,Premium,15.05,Smart TV,1.0,0,2.775708849576025,0,2024,6,21,4
23.0,Male,USA,New Jersey,Premium,26.57,Mobile,2.0,0,3.3167282250357055,0,2023,2,4,5
27.0,Other,USA,Virginia,Standard,1.94,Laptop,2.0,0,1.0784095813505903,0,2025,1,23,3
49.0,Male,USA,Texas,Standard,22.854736059479553,Desktop,3.0,0,3.1719827745379456,0,2024,12,14,5
44.0,Male,USA,Florida,Basic,28.4,Mobile,4.0,0,3.380994674344636,0,2023,9,17,6
21.0,Female,USA,Illinois,Premium,9.01,Tablet,1.0,0,2.303584593327129,0,2023,2,13,0
31.0,Other,USA,Florida,Premium,12.26,Gaming Console,3.0,0,2.5847519847577165,0,2024,9,19,3
40.0,Female,USA,Indiana,Basic,9.34,Desktop,1.0,0,2.336019869080283,0,2022,11,5,5
47.0,Female,USA,Arizona,Standard,4.18,Desktop,2.0,0,1.6448050562713916,0,2024,5,27,0
37.0,Male,USA,New Jersey,Premium,5.17,Tablet,2.0,0,1.8196988379172965,0,2024,11,22,4
21.0,Female,USA,Pennsylvania,Standard,16.27,Desktop,0.0,0,2.848970892158587,1,2024,2,19,0
56.0,Female,USA,Pennsylvania,Standard,17.62,Gaming Console,3.0,1,2.924236271848921,0,2024,1,30,1
35.0,Female,USA,Illinois,Premium,22.56,Smart TV,5.0,0,3.159550358783386,0,2025,2,16,6
37.0,Male,Canada,Quebec,Premium,21.811017452655033,Laptop,0.0,0,3.1272436408541084,1,2023,10,7,5
52.0,Female,USA,California,Basic,20.45,Mobile,2.0,1,3.065724645374026,0,2023,12,31,6
41.0,Other,Canada,British Columbia,Premium,375.3,Desktop,1.0,0,5.930386697599392,0,2023,10,12,3
41.0,Female,Canada,Newfoundland and Labrador,Premium,13.06,Laptop,2.0,0,2.643333886382519,0,2025,3,9,6
24.0,Other,USA,Florida,Premium,7.22,Laptop,4.0,0,2.1065702090680882,0,2023,11,7,1
39.0,Female,USA,Texas,Premium,10.65,Gaming Console,2.0,0,2.4553061800117097,0,2023,10,29,6
47.0,Female,USA,Ohio,Standard,13.96,Smart TV,4.0,0,2.7053799725463312,0,2024,2,27,1
38.0,Female,USA,Michigan,Premium,859.24,Laptop,2.0,0,6.757211420082271,0,2022,9,9,4
44.0,Male,USA,New York,Premium,1.95,Mobile,4.0,0,1.0818051703517284,0,2025,4,24,3
35.0,Male,USA,Indiana,Basic,10.23,Smart TV,0.0,0,2.418588768750352,1,2024,8,24,5
27.0,Female,USA,Virginia,Basic,22.5,Mobile,1.0,0,3.1570004211501135,0,2023,2,23,3
36.0,Other,USA,New Jersey,Premium+,19.675352862849536,Desktop,2.0,0,3.0289423078910556,0,2024,12,10,1
37.0,Male,USA,Pennsylvania,Standard,13.51,Gaming Console,0.0,1,2.6748380668960965,1,2025,1,13,0
30.0,Female,USA,Ohio,Premium,34.66,Tablet,0.0,0,3.574029612434994,1,2023,1,22,6
47.0,Male,USA,New York,Basic,37.67,Laptop,7.0,0,3.6550641056192057,0,2024,5,3,4
32.0,Female,USA,Michigan,Standard,5.47,Desktop,2.0,0,1.8671761085128091,0,2025,4,12,5
21.0,Female,Canada,Prince Edward Island,Premium,28.47,Tablet,0.0,0,3.3833727967496032,1,2024,3,17,6
32.0,Male,USA,Massachusetts,Basic,15.42,Mobile,0.0,0,2.7985001040242823,1,2024,6,3,0
37.0,Female,USA,Virginia,Basic,13.87,Smart TV,0.0,1,2.6993457604720636,1,2024,7,23,1
39.0,Other,USA,New York,Premium,20.08,Laptop,1.0,0,3.0483247236731614,0,2024,12,19,3
37.0,Other,Canada,Newfoundland and Labrador,Premium,21.811017452655033,Smart TV,2.0,0,3.1272436408541084,0,2024,4,17,2
21.0,Other,USA,Michigan,Standard,5.79,Tablet,2.0,1,1.9154509415706047,0,2024,7,22,0
50.0,Female,USA,Wisconsin,Basic,6.04,Mobile,1.0,0,1.951608170169951,0,2022,8,2,1
19.0,Female,USA,Maryland,Premium,15.41,Desktop,1.0,1,2.7978909051019993,0,2024,5,15,2
30.0,Other,Canada,Quebec,Basic,20.38,Tablet,7.0,1,3.062455905596899,0,2024,6,26,2
45.0,Male,USA,New Jersey,Standard,12.52,Laptop,4.0,0,2.604170070614818,0,2023,1,11,2
25.0,Other,Canada,Quebec,Premium+,37.28,Gaming Console,4.0,0,3.6449275665847534,0,2024,4,8,0
53.0,Other,USA,California,Premium,11.18,Desktop,1.0,1,2.4997952622817508,0,2023,2,3,4
29.0,Female,USA,Michigan,Premium,18.78,Desktop,2.0,0,2.984671326194566,0,2022,8,17,2
13.0,Female,USA,Missouri,Basic,6.91,Mobile,5.0,0,2.0681277817795625,0,2023,4,22,5
18.0,Male,USA,New York,Standard,22.854736059479553,Gaming Console,1.0,0,3.1719827745379456,0,2024,7,21,6
34.0,Male,USA,Massachusetts,Premium,27.12,Desktop,4.0,0,3.336481066942464,0,2024,12,2,0
